0 78
1 44
2 37
3 24
4 23
5 32
6 26
7 32
8 25
9 28
10 26
11 20
12 22
13 23
14 18
15 17
16 22
17 25
18 10
19 20
20 21
21 18
22 15
23 16
24 19
25 17
26 14
27 14
28 18
29 12
30 17
31 17
32 16
33 15
34 17
35 5
36 21
37 14
38 15
39 17
40 18
41 16
42 14
43 11
44 17
45 10
46 17
47 11
48 10
49 11
50 8
51 14
52 15
53 20
54 13
55 15
56 9
57 16
58 17
59 12
60 8
61 10
62 10
63 18
64 12
65 8
66 8
67 19
68 11
69 10
70 4
71 11
72 22
73 5
74 5
75 7
76 10
77 10
78 9
79 5
80 8
81 15
82 9
83 12
84 7
85 2
86 14
87 11
88 11
89 5
90 0
91 0
92 0
93 0
94 0
95 0
