0 93
1 57
2 37
3 36
4 25
5 29
6 27
7 20
8 20
9 25
10 18
11 17
12 21
13 13
14 13
15 10
16 19
17 14
18 14
19 12
20 10
21 9
22 9
23 16
24 9
25 10
26 8
27 6
28 12
29 5
30 4
31 10
32 8
33 5
34 4
35 3
36 14
37 10
38 10
39 9
40 12
41 6
42 6
43 4
44 2
45 6
46 6
47 8
48 3
49 3
50 3
51 9
52 9
53 13
54 14
55 8
56 7
57 4
58 7
59 2
60 3
61 1
62 5
63 9
64 6
65 3
66 3
67 6
68 6
69 6
70 2
71 8
72 10
73 5
74 1
75 4
76 5
77 1
78 3
79 1
80 6
81 3
82 3
83 3
84 2
85 0
86 6
87 6
88 5
89 1
90 0
91 0
92 0
93 0
94 0
95 0
